defect_type,days_overdue,section_load,failure_risk,urgency_score,repair_hours
Point failure,28,0.27,0.8,100.0,5.62
Signal fault,10,0.88,0.64,85.68,3.65
Overhead wear,0,0.37,0.57,48.45,4.79
Signal fault,30,0.23,0.36,98.39,3.55
Signal fault,11,0.56,0.63,83.54,3.68
Overhead wear,8,0.16,0.95,76.45,5.41
Point failure,27,0.5,0.21,95.82,4.48
Rail crack,3,0.26,0.78,67.39,4.61
Point failure,21,0.13,0.86,93.79,4.5
Point failure,13,0.75,0.39,87.19,5.0
Overhead wear,15,0.77,0.59,92.89,5.45
Point failure,27,0.35,0.37,93.05,4.2
Signal fault,18,0.74,0.76,100.0,4.06
Rail crack,7,0.5,0.19,70.13,4.02
Overhead wear,2,0.63,0.35,48.27,5.16
Signal fault,0,0.75,0.31,53.39,3.35
Point failure,12,0.28,0.91,100.0,4.28
Point failure,29,0.23,0.64,100.0,4.94
Overhead wear,6,0.36,0.25,58.41,4.98
Point failure,11,0.27,0.9,94.19,4.6
Point failure,24,0.39,0.2,88.43,3.94
Point failure,12,0.87,0.11,64.23,4.05
Overhead wear,0,0.21,0.4,45.55,4.94
Rail crack,19,0.43,0.97,100.0,5.34
Rail crack,23,0.13,0.65,99.11,5.21
Overhead wear,0,0.67,0.71,56.25,5.51
Point failure,22,0.79,0.31,95.04,4.82
Point failure,1,0.67,0.58,63.54,3.82
Overhead wear,2,0.63,0.71,69.09,5.02
Signal fault,19,0.68,0.26,83.22,4.24
Ballast wear,7,0.22,0.41,53.92,6.7
Point failure,15,0.84,0.6,90.37,4.49
Point failure,4,0.91,0.67,75.9,3.76
Signal fault,19,0.9,0.8,100.0,4.28
Point failure,5,0.7,0.62,78.97,4.1
Rail crack,28,0.36,0.37,94.03,4.9
Overhead wear,8,0.26,0.12,46.48,4.83
Signal fault,16,0.38,0.59,96.14,4.0
Overhead wear,18,0.9,0.67,100.0,6.01
Point failure,14,0.54,0.28,73.95,4.44
Signal fault,16,0.14,1.0,89.47,4.21
Signal fault,27,0.11,0.94,100.0,4.54
Signal fault,27,0.87,0.37,100.0,4.0
Signal fault,17,0.6,0.94,100.0,4.79
Ballast wear,14,0.99,0.23,81.28,6.62
Rail crack,7,0.73,0.73,82.24,4.51
Ballast wear,2,0.33,0.65,52.22,6.73
Point failure,18,0.4,0.44,88.46,4.14
Signal fault,24,0.24,0.98,100.0,4.55
Rail crack,19,0.13,0.37,76.78,4.99
Overhead wear,27,0.29,0.66,100.0,6.39
Point failure,15,0.98,0.56,100.0,4.21
Signal fault,27,0.77,0.33,100.0,3.87
Rail crack,25,0.92,0.5,100.0,5.09
Rail crack,7,0.94,0.67,98.39,4.81
Overhead wear,21,0.76,0.14,81.17,5.31
Rail crack,28,0.2,0.14,93.35,5.51
Ballast wear,25,0.54,0.53,97.34,6.8
Ballast wear,9,0.95,0.9,90.71,7.22
Overhead wear,12,0.25,0.16,59.39,5.01
Signal fault,19,0.62,0.45,89.89,4.56
Signal fault,10,0.95,0.45,83.87,3.47
Rail crack,25,0.39,0.86,100.0,5.33
Overhead wear,17,0.67,0.89,100.0,5.91
Rail crack,3,0.26,0.78,65.75,4.35
Overhead wear,11,0.49,0.78,83.27,5.53
Rail crack,16,0.55,0.84,100.0,5.06
Rail crack,3,0.11,0.91,73.37,4.63
Point failure,18,0.54,0.17,81.96,3.93
Point failure,26,0.29,0.95,100.0,5.11
Overhead wear,9,0.98,1.0,100.0,5.69
Point failure,8,0.79,0.66,83.57,4.33
Ballast wear,26,0.74,0.17,85.76,6.49
Point failure,16,0.95,0.99,100.0,5.18
Signal fault,28,0.44,0.73,100.0,4.07
Signal fault,12,0.11,0.52,73.29,3.53
Rail crack,2,0.63,0.97,79.37,4.58
Rail crack,5,0.49,0.82,82.68,4.92
Overhead wear,15,0.57,0.99,100.0,5.51
Point failure,24,0.57,0.67,100.0,5.31
Overhead wear,21,0.63,0.91,100.0,5.62
Ballast wear,27,0.68,0.45,98.92,6.91
Overhead wear,8,0.33,0.51,73.76,4.7
Overhead wear,12,0.92,0.84,92.12,6.08
Ballast wear,26,0.14,0.12,82.52,6.74
Rail crack,10,0.63,0.44,80.54,5.02
Signal fault,30,0.35,0.15,97.29,4.11
Overhead wear,5,0.92,0.63,81.15,5.4
Signal fault,16,0.32,0.28,71.61,3.42
Point failure,29,0.89,0.78,100.0,4.87
Signal fault,26,0.38,0.83,100.0,4.85
Overhead wear,20,0.68,0.82,100.0,6.0
Ballast wear,5,0.65,0.67,65.98,6.72
Ballast wear,19,0.59,0.51,86.8,7.14
Ballast wear,18,0.73,0.82,100.0,7.15
Rail crack,27,0.16,0.14,85.61,5.28
Signal fault,10,0.32,0.17,55.94,3.58
Rail crack,2,0.89,0.56,76.3,4.61
Signal fault,18,0.84,0.41,92.61,3.84
Rail crack,4,0.51,0.29,62.78,3.67
Overhead wear,26,0.14,0.82,100.0,6.0
Signal fault,30,0.44,0.1,97.01,3.99
Ballast wear,27,0.43,0.52,100.0,6.93
Signal fault,14,0.13,0.88,83.92,3.63
Rail crack,22,0.44,0.12,83.35,4.56
Ballast wear,29,0.21,0.9,100.0,7.85
Signal fault,8,0.55,0.18,71.2,3.69
Rail crack,11,0.21,0.36,77.18,4.23
Ballast wear,26,0.42,0.99,100.0,7.74
Overhead wear,5,0.43,0.54,67.69,5.13
Rail crack,29,0.25,0.7,100.0,5.66
Ballast wear,18,0.85,0.28,85.76,6.52
Point failure,14,0.74,0.79,99.7,4.29
Point failure,12,0.58,0.15,67.01,3.86
Ballast wear,11,0.28,0.72,84.16,6.72
Signal fault,29,0.2,0.87,100.0,5.02
Overhead wear,23,0.99,0.28,100.0,5.36
Point failure,28,0.23,0.82,100.0,4.87
Overhead wear,4,0.83,0.7,67.47,5.29
Overhead wear,9,0.45,0.83,74.1,5.13
Signal fault,28,0.37,0.77,100.0,4.46
Rail crack,14,0.45,0.59,90.79,5.12
Signal fault,5,0.95,0.66,77.6,3.56
Overhead wear,0,0.58,0.9,69.15,5.34
Rail crack,28,0.32,0.77,100.0,5.31
Ballast wear,4,0.89,0.41,68.5,6.31
Overhead wear,28,0.31,0.75,100.0,6.35
Signal fault,3,0.59,0.33,54.52,3.2
Ballast wear,7,0.63,0.46,67.92,6.56
Point failure,25,0.63,0.56,100.0,4.71
Point failure,10,0.94,0.61,92.07,4.36
Ballast wear,16,0.62,0.65,94.32,6.85
Rail crack,21,0.92,0.21,96.04,4.65
Point failure,21,0.85,0.4,96.58,4.23
Overhead wear,14,0.15,0.4,66.15,4.74
Rail crack,25,0.93,0.41,100.0,4.83
Rail crack,10,0.13,0.92,89.69,4.58
Point failure,5,0.13,0.38,54.03,4.23
Ballast wear,27,0.29,0.56,97.85,7.39
Point failure,21,0.87,0.58,100.0,4.32
Overhead wear,29,0.77,0.29,100.0,5.65
Overhead wear,16,0.13,0.52,74.75,5.43
Signal fault,14,0.57,0.58,84.64,2.81
Signal fault,30,0.19,0.4,100.0,4.16
Ballast wear,9,0.91,0.57,83.24,6.07
Signal fault,23,0.28,0.55,89.42,4.43
